sequencer,num_lanes,paired,length,read_length,min_output_Gbp,max_output_Gbp,cost
Illumina iSeq 100,1,1,36,1 x 36,0.144,0.144,
Illumina iSeq 100,1,1,50,1 x 50,0.2,0.2,
Illumina iSeq 100,1,1,75,1 x 75,0.3,0.3,
Illumina iSeq 100,1,2,75,2 x 75,0.6,0.6,
Illumina iSeq 100,1,2,150,2 x 150,1.2,1.2,
Illumina MiniSeq High-Output Kit,1,2,150,2 x 150,6.6,7.5,
Illumina MiniSeq High-Output Kit,1,2,75,2 x 75,3.3,3.75,
Illumina MiniSeq High-Output Kit,1,1,75,1 x 75,1.65,1.875,
Illumina MiniSeq Mid-Output Kit,1,2,150,2 x 150,2.1,2.4,
Illumina MiSeq Reagent Kit v2,1,1,36,1 x 36,0.54,0.61,
Illumina MiSeq Reagent Kit v2,1,2,25,2 x 25,0.75,0.85,
Illumina MiSeq Reagent Kit v2,1,2,150,2 x 150,4.5,5.1,
Illumina MiSeq Reagent Kit v2,1,2,250,2 x 250,7.5,8.5,
Illumina MiSeq Reagent Kit v3,1,2,75,2 x 75,3.3,3.8,
Illumina MiSeq Reagent Kit v3,1,2,300,2 x 300,13.2,15,
Illumina NextSeq 550 High-Output Kit,1,2,150,2 x 150,100,120,3000
Illumina NextSeq 550 High-Output Kit,1,2,75,2 x 75,50,60,3000
Illumina NextSeq 550 High-Output Kit,1,1,75,1 x 75,25,30,3000
Illumina NextSeq 550 Mid-Output Kit,1,2,150,2 x 150,32.5,39,1100
Illumina NextSeq 550 Mid-Output Kit,1,2,75,2 x 75,16.25,19.5,1100
Illumina NovaSeq 6000 S1,2,2,50,2 x 50,134,167,8500
Illumina NovaSeq 6000 S1,2,2,100,2 x 100,266,333,8500
Illumina NovaSeq 6000 S1,2,2,150,2 x 150,400,500,8500
Illumina NovaSeq 6000 S2,2,2,50,2 x 50,333,417,16000
Illumina NovaSeq 6000 S2,2,2,100,2 x 100,667,833,16000
Illumina NovaSeq 6000 S2,2,2,150,2 x 150,1000,1250,16000
Illumina NovaSeq 6000 S4,4,2,100,2 x 100,1600,2000,30000
Illumina NovaSeq 6000 S4,4,2,150,2 x 150,2400,3000,30000
Illumina NovaSeq 6000 SP,1,2,50,2 x 50,65,80,
Illumina NovaSeq 6000 SP,1,2,100,2 x 100,134,167,
Illumina NovaSeq 6000 SP,1,2,150,2 x 150,200,250,
Illumina NovaSeq 6000 SP,1,2,250,2 x 250,325,400,
PacBio SMRT Cell 8M,NA,NA,NA,NA,27.4,27.4,3000
